title,rating,year,actors,runtime,url
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,83 ,https://www.imdb.com//title/tt0252597/
Devasuram,8.7,1993,Mohanlal;Revathi;Nedumudi Venu;Innocent,187 ,https://www.imdb.com//title/tt0291855/
Canim Kardesim,8.7,1973,Tarik Akan;Kahraman Kiral;Halit Akçatepe;Metin Akpinar,92 ,https://www.imdb.com//title/tt0267351/
O Auto da Compadecida,8.7,2000,Matheus Nachtergaele;Selton Mello;Rogério Cardoso;Denise Fraga,104 ,https://www.imdb.com//title/tt0271383/
Anbe Sivam,8.7,2003,Kamal Haasan;Madhavan;Kiran Rathod;Nassar,160 ,https://www.imdb.com//title/tt0367495/
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92 ,https://www.imdb.com//title/tt0765833/
Monpura,8.7,2009,Chanchal Chowdhury;Farhana Mili;Shirin Alam;Mohiuddin Bahar,136 ,https://www.imdb.com//title/tt1621830/
Poove Unakkaga,8.7,1996,Anju Aravind;Madhan Bob;Charlie;Jai Ganesh,150 ,https://www.imdb.com//title/tt2325915/
Dag II,8.7,2016,Caglar Ertugrul;Ufuk Bayraktar;Ahu Türkpençe;Murat Serezli,135 ,https://www.imdb.com//title/tt5813916/
The Matrix,8.7,1999,Lilly Wachowski;Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving,136 ,https://www.imdb.com//title/tt0133093/
