title,rating,year,actors,runtime,url,languages
"The Good, the Bad and the Ugly",8.8,1966,Clint Eastwood;Eli Wallach;Lee Van Cleef;Aldo Giuffrè,161,https://www.imdb.com//title/tt0060196/,Italian
Andrei Rublev,8.1,1966,Anatoliy Solonitsyn;Ivan Lapikov;Nikolay Grinko;Nikolay Sergeev,205,https://www.imdb.com//title/tt0060107/,Russian;Italian;Tatar
Beregis avtomobilya,8.1,1966,Innokentiy Smoktunovskiy;Oleg Efremov;Lyubov Dobrzhanskaya;Olga Aroseva,94,https://www.imdb.com//title/tt0060161/,Russian
De slag om Algiers,8.1,1966,Brahim Hadjadj;Jean Martin;Yacef Saadi;Samia Kerbash,121,https://www.imdb.com//title/tt0058946/,Arabic;French;English
Persona,8.1,1966,Bibi Andersson;Liv Ullmann;Margaretha Krook;Gunnar Björnstrand,85,https://www.imdb.com//title/tt0060827/,Swedish;English
Jôi-uchi: Hairyô tsuma shimatsu,8.4,1967,Toshirô Mifune;Yôko Tsukasa;Gô Katô;Tatsuyoshi Ehara,128,https://www.imdb.com//title/tt0061847/,Japanese
"Kavkazskaya plennitsa, ili Novye priklyucheniya Shurika",8.4,1967,Aleksandr Demyanenko;Natalya Varley;Vladimir Etush;Frunzik Mkrtchyan,82,https://www.imdb.com//title/tt0060584/,Russian
Cool Hand Luke,8.1,1967,Paul Newman;George Kennedy;Strother Martin;J.D. Cannon,127,https://www.imdb.com//title/tt0061512/,English
Le samouraï,8.1,1967,Alain Delon;François Périer;Nathalie Delon;Cathy Rosier,105,https://www.imdb.com//title/tt0062229/,French
The Graduate,8.0,1967,Dustin Hoffman;Anne Bancroft;Katharine Ross;William Daniels,106,https://www.imdb.com//title/tt0061722/,English
Once Upon a Time in the West,8.5,1968,Henry Fonda;Charles Bronson;Claudia Cardinale;Jason Robards,165,https://www.imdb.com//title/tt0064116/,English;Italian;Spanish
2001: Een zwerftocht in de ruimte,8.3,1968,Keir Dullea;Gary Lockwood;William Sylvester;Daniel Richter,149,https://www.imdb.com//title/tt0062622/,English;Russian;French
Padosan,8.1,1968,Sunil Dutt;Saira Banu;Mehmood;Kishore Kumar,157,https://www.imdb.com//title/tt0063404/,Hindi
Apenplaneet,8.0,1968,Charlton Heston;Roddy McDowall;Kim Hunter;Maurice Evans,112,https://www.imdb.com//title/tt0063442/,English
Rosemary's Baby,8.0,1968,Mia Farrow;John Cassavetes;Ruth Gordon;Sidney Blackmer,137,https://www.imdb.com//title/tt0063522/,English
A tanú,8.7,1969,Ferenc Kállai;Lajos Öze;Béla Both;Zoltán Fábri,105,https://www.imdb.com//title/tt0065067/,Hungarian
Brilliantovaya ruka,8.4,1969,Yuriy Nikulin;Nina Grebeshkova;Andrey Mironov;Anatoliy Papanov,100,https://www.imdb.com//title/tt0062759/,Russian
Z,8.3,1969,Yves Montand;Irene Papas;Jean-Louis Trintignant;François Périer,127,https://www.imdb.com//title/tt0065234/,French;Russian;English
The Army of Shadows,8.2,1969,Lino Ventura;Paul Meurisse;Jean-Pierre Cassel;Simone Signoret,145,https://www.imdb.com//title/tt0064040/,French;German;English
Butch Cassidy and the Sundance Kid,8.0,1969,Paul Newman;Robert Redford;Katharine Ross;Strother Martin,110,https://www.imdb.com//title/tt0064115/,English;Spanish
De dader staat boven verdenking,8.1,1970,Gian Maria Volontè;Florinda Bolkan;Gianni Santuccio;Orazio Orlando,115,https://www.imdb.com//title/tt0065889/,Italian
De Rode Cirkel,8.0,1970,Alain Delon;Bourvil;Gian Maria Volontè;Yves Montand,140,https://www.imdb.com//title/tt0065531/,French
Il conformista,8.0,1970,Jean-Louis Trintignant;Stefania Sandrelli;Gastone Moschin;Enzo Tarascio,113,https://www.imdb.com//title/tt0065571/,Italian;French;Latin;Chinese
Patton,7.9,1970,George C. Scott;Karl Malden;Stephen Young;Michael Strong,172,https://www.imdb.com//title/tt0066206/,English;German;French;Russian;Arabic;Italian
Beloe solntse pustyni,7.8,1970,Anatoliy Kuznetsov;Pavel Luspekayev;Spartak Mishulin;Kakhi Kavsadze,84,https://www.imdb.com//title/tt0066565/,Russian
Dzhentlmeny udachi,8.5,1971,Evgeniy Leonov;Georgiy Vitsin;Saveliy Kramarov;Radner Muratov,88,https://www.imdb.com//title/tt0068519/,Russian
De Laatste Kruistocht,8.4,1971,Amza Pellea;Ion Besoiu;Olga Tudorache;Irina Gardescu,203,https://www.imdb.com//title/tt0066078/,Romanian
12 stulev,8.3,1971,Archil Gomiashvili;Sergey Filippov;Mikhail Pugovkin;Glikeriya Bogdanova-Chesnokova,159,https://www.imdb.com//title/tt0065670/,Russian;Lithuanian;German;Georgian;French
A Clockwork Orange,8.3,1971,Malcolm McDowell;Patrick Magee;Michael Bates;Warren Clarke,136,https://www.imdb.com//title/tt0066921/,English
Anand,8.2,1971,Rajesh Khanna;Amitabh Bachchan;Sumita Sanyal;Ramesh Deo,122,https://www.imdb.com//title/tt0066763/,Hindi
The Godfather,9.2,1972,Marlon Brando;Al Pacino;James Caan;Diane Keaton,175,https://www.imdb.com//title/tt0068646/,English;Italian;Latin
Schreeuw zonder antwoord,8.1,1972,Harriet Andersson;Liv Ullmann;Kari Sylwan;Ingrid Thulin,91,https://www.imdb.com//title/tt0069467/,Swedish;German;Danish
Solaris,8.1,1972,Natalya Bondarchuk;Donatas Banionis;Jüri Järvet;Vladislav Dvorzhetskiy,167,https://www.imdb.com//title/tt0069293/,Russian;German
Kozure Ôkami: Sanzu no kawa no ubaguruma,8.0,1972,Tomisaburô Wakayama;Kayo Matsuo;Minoru Ôki;Akiji Kobayashi,82,https://www.imdb.com//title/tt0068816/,Japanese
Sleuth,8.0,1972,Laurence Olivier;Michael Caine;Alec Cawthorne;John Matthews,138,https://www.imdb.com//title/tt0069281/,English;Italian
Canim Kardesim,8.7,1973,Tarik Akan;Kahraman Kiral;Halit Akçatepe;Metin Akpinar,92,https://www.imdb.com//title/tt0267351/,Turkish
Ivan Vasilevich menyaet professiyu,8.4,1973,Yuriy Yakovlev;Leonid Kuravlyov;Aleksandr Demyanenko;Saveliy Kramarov,93,https://www.imdb.com//title/tt0070233/,Russian;German
The Sting,8.3,1973,Paul Newman;Robert Redford;Robert Shaw;Charles Durning,129,https://www.imdb.com//title/tt0070735/,English
Paper Moon,8.1,1973,Ryan O'Neal;Tatum O'Neal;Madeline Kahn;John Hillerman,102,https://www.imdb.com//title/tt0070510/,English
La maman et la putain,8.0,1973,Jean-Pierre Léaud;Bernadette Lafont;Françoise Lebrun;Isabelle Weingarten,217,https://www.imdb.com//title/tt0070359/,French
The Godfather: Part II,9.0,1974,Al Pacino;Robert De Niro;Robert Duvall;Diane Keaton,202,https://www.imdb.com//title/tt0071562/,English;Italian;Spanish;Latin;Sicilian
Scener ur ett äktenskap,8.4,1974,Liv Ullmann;Erland Josephson;Bibi Andersson;Gunnel Lindblom,169,https://www.imdb.com//title/tt6725014/,Swedish
Köyden Indim Sehire,8.3,1974,Kemal Sunal;Meral Zeren;Zeki Alasya;Metin Akpinar,77,https://www.imdb.com//title/tt0252619/,Turkish
A Woman Under the Influence,8.2,1974,Gena Rowlands;Peter Falk;Fred Draper;Lady Rowlands,155,https://www.imdb.com//title/tt0072417/,English;Italian
Chinatown,8.2,1974,Jack Nicholson;Faye Dunaway;John Huston;Perry Lopez,130,https://www.imdb.com//title/tt0071315/,English;Cantonese;Spanish
Hababam Sinifi,9.3,1975,Kemal Sunal;Münir Özkul;Halit Akçatepe;Tarik Akan,87,https://www.imdb.com//title/tt0252487/,Turkish
One Flew Over the Cuckoo's Nest,8.7,1975,Jack Nicholson;Louise Fletcher;Michael Berryman;Peter Brocco,133,https://www.imdb.com//title/tt0073486/,English
Flåklypa Grand Prix,8.5,1975,Wenche Foss;Per Theodor Haugen;Harald Heide-Steen Jr.;Leif Juster,88,https://www.imdb.com//title/tt0073000/,Norwegian
Bizim Aile,8.4,1975,Tayfun Akalin;Tarik Akan;Tuncay Akça;Halit Akçatepe,88,https://www.imdb.com//title/tt0456047/,Turkish
Chupke Chupke,8.3,1975,Dharmendra;Sharmila Tagore;Amitabh Bachchan;Jaya Bachchan,146,https://www.imdb.com//title/tt0072783/,Hindi
Al-risâlah,9.0,1976,Abdallah Gheith;Mona Wassef;Hamdy Gheith;Ali Achmed Taram,207,https://www.imdb.com//title/tt0075143/,Arabic;English;Hindi
Tosun Pasa,9.0,1976,Kemal Sunal;Müjde Ar;Adile Nasit;Sener Sen,90,https://www.imdb.com//title/tt0253828/,Turkish
Hababam Sinifi Sinifta Kaldi,8.9,1976,Kemal Sunal;Münir Özkul;Semra Özdamar;Adile Nasit,91,https://www.imdb.com//title/tt0252488/,Turkish
Süt Kardesler,8.9,1976,Kemal Sunal;Sener Sen;Halit Akçatepe;Hale Soygazi,80,https://www.imdb.com//title/tt0253779/,Turkish
Kapicilar Krali,8.4,1976,Kemal Sunal;Sevda Ferdag;Bilge Zobu;Sevket Altug,84,https://www.imdb.com//title/tt0252591/,Turkish
Hababam Sinifi Uyaniyor,8.8,1977,Tayfun Akalin;Tuncay Akça;Halit Akçatepe;Sitki Akçatepe,94,https://www.imdb.com//title/tt0252490/,Turkish
Hababam Sinifi Tatilde,8.7,1977,Sevda Aktolga;Ahmet Ariman;Filiz Bozkurt;Aysen Gruda,97,https://www.imdb.com//title/tt0252489/,Turkish
Saban Oglu Saban,8.7,1977,Kemal Sunal;Halit Akçatepe;Sener Sen;Sevda Aktolga,90,https://www.imdb.com//title/tt0253614/,Turkish
Star Wars: Episode IV - A New Hope,8.6,1977,Mark Hamill;Harrison Ford;Carrie Fisher;Alec Guinness,121,https://www.imdb.com//title/tt0076759/,English
Çöpçüler Krali,8.6,1977,Kemal Sunal;Sener Sen;Aysen Gruda;Ihsan Yüce,80,https://www.imdb.com//title/tt0253997/,Turkish
Kibar Feyzo,8.7,1978,Kemal Sunal;Sener Sen;Ilyas Salman;Adile Nasit,83,https://www.imdb.com//title/tt0252597/,Turkish
Neseli Günler,8.7,1978,Münir Özkul;Adile Nasit;Sener Sen;Aysen Gruda,92,https://www.imdb.com//title/tt0765833/,Turkish
Selvi Boylum Al Yazmalim,8.6,1978,Türkan Soray;Kadir Inanir;Ahmet Mekin;Hülya Tuglu,90,https://www.imdb.com//title/tt0263975/,Turkish
Höstsonaten,8.2,1978,Ingrid Bergman;Liv Ullmann;Lena Nyman;Halvar Björk,99,https://www.imdb.com//title/tt0077711/,Swedish;English
The Deer Hunter,8.1,1978,Robert De Niro;Christopher Walken;John Cazale;John Savage,183,https://www.imdb.com//title/tt0077416/,English;Vietnamese;French;Russian;Cantonese
Golmaal,8.5,1979,Amol Palekar;Bindiya Goswami;Deven Verma;Shubha Khote,120,https://www.imdb.com//title/tt0079221/,Hindi
Alien,8.4,1979,Sigourney Weaver;Tom Skerritt;John Hurt;Veronica Cartwright,117,https://www.imdb.com//title/tt0078748/,English
Apocalypse Now,8.4,1979,Martin Sheen;Marlon Brando;Robert Duvall;Frederic Forrest,147,https://www.imdb.com//title/tt0078788/,English;French;Vietnamese
Korkusuz Korkak,8.1,1979,Kemal Sunal;Aysen Atav;Turgut Özatay;Nejat Gürçen,77,https://www.imdb.com//title/tt0252611/,Turkish
Monty Python's Life of Brian,8.1,1979,Graham Chapman;John Cleese;Michael Palin;Terry Gilliam,94,https://www.imdb.com//title/tt0079470/,English;Latin
Ko to tamo peva,8.8,1980,Pavle Vuisic;Dragan Nikolic;Danilo 'Bata' Stojkovic;Aleksandar Bercek,86,https://www.imdb.com//title/tt0076276/,Serbo-Croatian
Star Wars: Episode V - The Empire Strikes Back,8.7,1980,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,124,https://www.imdb.com//title/tt0080684/,English
Zübük,8.6,1980,Kemal Sunal;Nevra Serezli;Kadir Savun;Bülent Kayabas,88,https://www.imdb.com//title/tt0253991/,Turkish
The Shining,8.4,1980,Jack Nicholson;Shelley Duvall;Danny Lloyd;Scatman Crothers,146,https://www.imdb.com//title/tt0081505/,English
Omar Mukhtar: Lion of the Desert,8.3,1980,Anthony Quinn;Oliver Reed;Rod Steiger;Irene Papas,173,https://www.imdb.com//title/tt0081059/,English;Arabic;Italian
Indiana Jones and the Raiders of the Lost Ark,8.4,1981,Harrison Ford;Karen Allen;Paul Freeman;John Rhys-Davies,115,https://www.imdb.com//title/tt0082971/,English;German;Hebrew;Spanish;Arabic;Nepali
Das Boot,8.3,1981,Jürgen Prochnow;Herbert Grönemeyer;Klaus Wennemann;Hubertus Bengsch,149,https://www.imdb.com//title/tt0082096/,German
Vuk,8.3,1981,Judit Pogány;József Gyabronka;Teri Földi;Gyula Szabó,79,https://www.imdb.com//title/tt0131636/,Hungarian
Mis,8.2,1981,Stanislaw Tym;Barbara Burska;Christine Paul;Krzysztof Kowalewski,111,https://www.imdb.com//title/tt0082755/,Polish;English
Davaro: Son Eskiya,8.1,1981,Kemal Sunal;Sener Sen;Pembe Mutlu;Aysen Gruda,94,https://www.imdb.com//title/tt0252361/,Turkish
Maratonci trce pocasni krug,8.9,1982,Bogdan Diklic;Danilo 'Bata' Stojkovic;Pavle Vuisic;Mija Aleksic,92,https://www.imdb.com//title/tt0084302/,Serbian
Angoor,8.3,1982,Sanjeev Kumar;Moushumi Chatterjee;Deven Verma;Aruna Irani,131,https://www.imdb.com//title/tt0215517/,Hindi
Blade Runner,8.1,1982,Harrison Ford;Rutger Hauer;Sean Young;Edward James Olmos,117,https://www.imdb.com//title/tt0083658/,English;German;Cantonese;Japanese;Hungarian;Arabic;Korean
Fanny och Alexander,8.1,1982,Bertil Guve;Pernilla Allwin;Kristina Adolphson;Börje Ahlstedt,188,https://www.imdb.com//title/tt0083922/,Swedish;German;Yiddish;English;French
Fitzcarraldo,8.1,1982,Klaus Kinski;Claudia Cardinale;José Lewgoy;Miguel Ángel Fuentes,158,https://www.imdb.com//title/tt0083946/,German;English;Spanish;Quechua;Italian
Jaane Bhi Do Yaaro,8.4,1983,Naseeruddin Shah;Ravi Baswani;Bhakti Barve;Satish Shah,132,https://www.imdb.com//title/tt0085743/,Hindi
Scarface,8.3,1983,Al Pacino;Michelle Pfeiffer;Steven Bauer;Mary Elizabeth Mastrantonio,170,https://www.imdb.com//title/tt0086250/,English;Spanish
Star Wars: Episode VI - Return of the Jedi,8.3,1983,Mark Hamill;Harrison Ford;Carrie Fisher;Billy Dee Williams,131,https://www.imdb.com//title/tt0086190/,English
Nostalgia,8.1,1983,Oleg Yankovskiy;Erland Josephson;Domiziana Giordano;Patrizia Terreno,125,https://www.imdb.com//title/tt0086022/,Russian;Italian
Hadashi no Gen,8.0,1983,Issei Miyazaki;Catherine Battistone;Yoshie Shimamura;Iona Morris,83,https://www.imdb.com//title/tt0085218/,Japanese;English
Balkanski spijun,8.9,1984,Danilo 'Bata' Stojkovic;Bora Todorovic;Mira Banjac;Sonja Savic,95,https://www.imdb.com//title/tt0086935/,Serbo-Croatian
Varljivo leto '68,8.5,1984,Slavko Stimac;Danilo 'Bata' Stojkovic;Mira Banjac;Mija Aleksic,91,https://www.imdb.com//title/tt0088338/,Serbo-Croatian
Amadeus,8.3,1984,F. Murray Abraham;Tom Hulce;Elizabeth Berridge;Roy Dotrice,160,https://www.imdb.com//title/tt0086879/,English;Italian;Latin;German
Once Upon a Time in America,8.3,1984,Robert De Niro;James Woods;Elizabeth McGovern;Treat Williams,229,https://www.imdb.com//title/tt0087843/,English;Italian;French;Yiddish;Hebrew
Kaze no tani no Naushika,8.1,1984,Sumi Shimamoto;Mahito Tsujimura;Hisako Kyôda;Gorô Naya,117,https://www.imdb.com//title/tt0087544/,Japanese
Terug naar de toekomst,8.5,1985,Michael J. Fox;Christopher Lloyd;Lea Thompson;Crispin Glover,116,https://www.imdb.com//title/tt0088763/,English
Idi i smotri,8.3,1985,Aleksey Kravchenko;Olga Mironova;Liubomiras Laucevicius;Vladas Bagdonas,142,https://www.imdb.com//title/tt0091251/,Russian;Belarusian;German
Ran,8.2,1985,Tatsuya Nakadai;Akira Terao;Jinpachi Nezu;Daisuke Ryû,162,https://www.imdb.com//title/tt0089881/,Japanese
Esperando la carroza,8.1,1985,Luis Brandoni;China Zorrilla;Antonio Gasalla;Julio De Grazia,94,https://www.imdb.com//title/tt0089108/,Spanish
Mishima: A Life in Four Chapters,8.0,1985,Ken Ogata;Masayuki Shionoya;Hiroshi Mikami;Junya Fukuda,120,https://www.imdb.com//title/tt0089603/,Japanese;English
Zügürt Aga,8.7,1986,Sener Sen;Erdal Özyagcilar;Nilgün Nazli;Füsun Demirel,101,https://www.imdb.com//title/tt0201368/,Turkish
Macskafogó,8.4,1986,Miklós Benedek;Gyula Bodrogi;Ilona Béres;Péter Haumann,96,https://www.imdb.com//title/tt0179955/,Hungarian
Aliens,8.3,1986,Sigourney Weaver;Michael Biehn;Carrie Henn;Paul Reiser,137,https://www.imdb.com//title/tt0090605/,English
Kin-dza-dza!,8.1,1986,Stanislav Lyubshin;Evgeniy Leonov;Yuriy Yakovlev;Levan Gabriadze,135,https://www.imdb.com//title/tt0091341/,Georgian;Russian;French;English
Platoon,8.1,1986,Charlie Sheen;Tom Berenger;Willem Dafoe;Keith David,120,https://www.imdb.com//title/tt0091763/,English;Vietnamese
Nayakan,8.7,1987,Kamal Haasan;Saranya Ponvannan;Delhi Ganesh;Janakaraj,145,https://www.imdb.com//title/tt0093603/,Tamil
Muhsin Bey,8.5,1987,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Osman Cavci,119,https://www.imdb.com//title/tt0184756/,Turkish
Full Metal Jacket,8.3,1987,Matthew Modine;R. Lee Ermey;Vincent D'Onofrio;Adam Baldwin,116,https://www.imdb.com//title/tt0093058/,English;Vietnamese
Hachikô monogatari,8.1,1987,Tatsuya Nakadai;Kaoru Yachigusa;Toshinori Omi;Toshirô Yanagiba,107,https://www.imdb.com//title/tt0093132/,Japanese
Khane-ye doust kodjast?,8.1,1987,Babek Ahmed Poor;Ahmed Ahmed Poor;Khodabakhsh Defaei;Iran Outari,83,https://www.imdb.com//title/tt0093342/,Persian
Chithram,8.6,1988,Mohanlal;Nedumudi Venu;Renjini;Poornam Vishwanathan,159,https://www.imdb.com//title/tt0214585/,Malayalam
Hotaru no haka,8.5,1988,Tsutomu Tatsumi;Ayano Shiraishi;Akemi Yamaguchi;Yoshiko Shinohara,89,https://www.imdb.com//title/tt0095327/,Japanese
Nuovo Cinema Paradiso,8.5,1988,Philippe Noiret;Enzo Cannavale;Antonella Attili;Isa Danieli,155,https://www.imdb.com//title/tt0095765/,Italian
Die Hard,8.2,1988,Bruce Willis;Alan Rickman;Bonnie Bedelia;Reginald VelJohnson,132,https://www.imdb.com//title/tt0095016/,English;German;Italian;Japanese
Dom za vesanje,8.2,1988,Davor Dujmovic;Bora Todorovic;Ljubica Adzovic;Husnija Hasimovic,142,https://www.imdb.com//title/tt0097223/,Macedonian;Slovenian;Romany;Serbo-Croatian;Italian;English;German
Kireedam,8.8,1989,Mohanlal;Thilakan;Kaviyoor Ponnamma;Parvathi,124,https://www.imdb.com//title/tt0237376/,Malayalam
Uçurtmayi Vurmasinlar,8.4,1989,Ozan Bilen;Nur Sürer;Füsun Demirel;Güzin Özipek,100,https://www.imdb.com//title/tt0098573/,Turkish
Indiana Jones and the Last Crusade,8.2,1989,Harrison Ford;Sean Connery;Alison Doody;Denholm Elliott,127,https://www.imdb.com//title/tt0097576/,English;German;Greek;Arabic
Dead Poets Society,8.1,1989,Robin Williams;Robert Sean Leonard;Ethan Hawke;Josh Charles,128,https://www.imdb.com//title/tt0097165/,English;Latin
Do the Right Thing,8.0,1989,Danny Aiello;Ossie Davis;Ruby Dee;Richard Edson,120,https://www.imdb.com//title/tt0097216/,English;Italian;Spanish;Korean
Goodfellas,8.7,1990,Robert De Niro;Ray Liotta;Joe Pesci;Lorraine Bracco,146,https://www.imdb.com//title/tt0099685/,English;Italian
Nema-ye Nazdik,8.3,1990,Hossain Sabzian;Mohsen Makhmalbaf;Abolfazl Ahankhah;Mehrdad Ahankhah,98,https://www.imdb.com//title/tt0100234/,Persian;Azerbaijani
Dances with Wolves,8.0,1990,Kevin Costner;Mary McDonnell;Graham Greene;Rodney A. Grant,181,https://www.imdb.com//title/tt0099348/,English;Sioux;Pawnee
Hamoun,8.0,1990,Pantea Bahram;Ezzatolah Entezami;Bita Farahi;Sedigheh Kianfar,120,https://www.imdb.com//title/tt0099729/,Persian
Edward Scissorhands,7.9,1990,Johnny Depp;Winona Ryder;Dianne Wiest;Anthony Michael Hall,105,https://www.imdb.com//title/tt0099487/,English
The Silence of the Lambs,8.6,1991,Jodie Foster;Anthony Hopkins;Lawrence A. Bonney;Kasi Lemmons,118,https://www.imdb.com//title/tt0102926/,English;Latin
Terminator 2: Judgment Day,8.5,1991,Arnold Schwarzenegger;Linda Hamilton;Edward Furlong;Robert Patrick,137,https://www.imdb.com//title/tt0103064/,English;Spanish
Thalapathi,8.5,1991,Rajinikanth;Mammootty;Shobana;Arvind Swamy,157,https://www.imdb.com//title/tt0101649/,Tamil
Gu ling jie shao nian sha ren shi jian,8.4,1991,Chen Chang;Lisa Yang;Kuo-Chu Chang;Elaine Jin,237,https://www.imdb.com//title/tt0101985/,Mandarin;Min Nan;Shanghainese;English
Dà hóng denglong gaogao guà,8.1,1991,Gong Li;Jingwu Ma;Saifei He;Cuifen Cao,125,https://www.imdb.com//title/tt0101640/,Mandarin
Thevar Magan,8.7,1992,Kamal Haasan;Shivaji Ganesan;Nassar;Revathi,145,https://www.imdb.com//title/tt0105575/,Tamil
Mi nismo andjeli,8.4,1992,Nikola Kojo;Milena Pavlovic;Branka Katic;Srdjan 'Zika' Todorovic,98,https://www.imdb.com//title/tt0104860/,Serbian
Reservoir Dogs,8.3,1992,Harvey Keitel;Tim Roth;Michael Madsen;Chris Penn,99,https://www.imdb.com//title/tt0105236/,English
Jo Jeeta Wohi Sikandar,8.2,1992,Aamir Khan;Ayesha Jhulka;Deepak Tijori;Pooja Bedi,174,https://www.imdb.com//title/tt0104561/,Hindi;English
Roja,8.2,1992,Arvind Swamy;Madhoo;Pankaj Kapur;Nassar,137,https://www.imdb.com//title/tt0105271/,Tamil
Schindler's List,8.9,1993,Liam Neeson;Ralph Fiennes;Ben Kingsley;Caroline Goodall,195,https://www.imdb.com//title/tt0108052/,English;Hebrew;German;Polish;Latin
Devasuram,8.7,1993,Mohanlal;Revathi;Nedumudi Venu;Innocent,187,https://www.imdb.com//title/tt0291855/,Malayalam
Manichitrathazhu,8.7,1993,Mohanlal;Shobana;Suresh Gopi;Vinaya Prasad,169,https://www.imdb.com//title/tt0214915/,Malayalam
Ba wang bie ji,8.1,1993,Leslie Cheung;Fengyi Zhang;Gong Li;You Ge,171,https://www.imdb.com//title/tt0106332/,Mandarin
In the Name of the Father,8.1,1993,Daniel Day-Lewis;Pete Postlethwaite;Alison Crosbie;Philip King,133,https://www.imdb.com//title/tt0107207/,English
The Shawshank Redemption,9.3,1994,Tim Robbins;Morgan Freeman;Bob Gunton;William Sadler,142,https://www.imdb.com//title/tt0111161/,English
Pulp Fiction,8.9,1994,John Travolta;Uma Thurman;Samuel L. Jackson;Bruce Willis,154,https://www.imdb.com//title/tt0110912/,English;Spanish;French
Forrest Gump,8.8,1994,Tom Hanks;Robin Wright;Gary Sinise;Sally Field,142,https://www.imdb.com//title/tt0109830/,English
Léon,8.5,1994,Jean Reno;Gary Oldman;Natalie Portman;Danny Aiello,110,https://www.imdb.com//title/tt0110413/,English;Italian;French
The Lion King,8.5,1994,Matthew Broderick;Jeremy Irons;James Earl Jones;Whoopi Goldberg,88,https://www.imdb.com//title/tt0110357/,English;Swahili;Xhosa;Zulu
Seven,8.6,1995,Morgan Freeman;Brad Pitt;Kevin Spacey;Andrew Kevin Walker,127,https://www.imdb.com//title/tt0114369/,English
Spadikam,8.6,1995,Mohanlal;Thilakan;Sphadikam George;Urvashi,150,https://www.imdb.com//title/tt0292246/,Malayalam
The Usual Suspects,8.5,1995,Kevin Spacey;Gabriel Byrne;Chazz Palminteri;Stephen Baldwin,106,https://www.imdb.com//title/tt0114814/,English;Hungarian;Spanish;French
Baasha,8.3,1995,Rajinikanth;Nagma;Raghuvaran;Vijayakumar,145,https://www.imdb.com//title/tt0139876/,Tamil
Braveheart,8.3,1995,Mel Gibson;Sophie Marceau;Patrick McGoohan;Angus Macfadyen,178,https://www.imdb.com//title/tt0112573/,English;French;Latin;Gaelic;Italian
Lepa sela lepo gore,8.7,1996,Dragan Bjelogrlic;Nikola Kojo;Dragan Maksimovic;Zoran Cvijanovic,115,https://www.imdb.com//title/tt0116860/,Bosnian;Serbian;English
Poove Unakkaga,8.7,1996,Anju Aravind;Madhan Bob;Charlie;Jai Ganesh,150,https://www.imdb.com//title/tt2325915/,Tamil
Eskiya,8.2,1996,Sener Sen;Ugur Yücel;Sermin Hürmeriç;Yesim Salkim,128,https://www.imdb.com//title/tt0116231/,Turkish
Fargo,8.1,1996,William H. Macy;Frances McDormand;Steve Buscemi;Peter Stormare,98,https://www.imdb.com//title/tt0116282/,English
Indian,8.1,1996,Kamal Haasan;Sukanya;Manisha Koirala;Urmila Matondkar,185,https://www.imdb.com//title/tt0116630/,Tamil
Het leven is mooi,8.6,1997,Roberto Benigni;Nicoletta Braschi;Giorgio Cantarini;Giustino Durano,116,https://www.imdb.com//title/tt0118799/,Italian;German;English
Iruvar,8.5,1997,Mohanlal;Prakash Raj;Aishwarya Rai Bachchan;Gautami,140,https://www.imdb.com//title/tt0119385/,Tamil
Mononoke-hime,8.4,1997,Yôji Matsuda;Yuriko Ishida;Yûko Tanaka;Billy Crudup,134,https://www.imdb.com//title/tt0119698/,Japanese
Bacheha-Ye aseman,8.3,1997,Mohammad Amir Naji;Amir Farrokh Hashemian;Bahare Seddiqi;Nafise Jafar-Mohammadi,89,https://www.imdb.com//title/tt0118849/,Persian
Good Will Hunting,8.3,1997,Robin Williams;Matt Damon;Ben Affleck;Stellan Skarsgård,126,https://www.imdb.com//title/tt0119217/,English
Lajanje na zvezde,8.7,1998,Dragan Micanovic;Natasa Tapuskovic;Nikola Simic;Velimir 'Bata' Zivojinovic,95,https://www.imdb.com//title/tt0187231/,Serbian
Saving Private Ryan,8.6,1998,Tom Hanks;Matt Damon;Tom Sizemore;Edward Burns,169,https://www.imdb.com//title/tt0120815/,English;French;German;Czech
American History X,8.5,1998,Edward Norton;Edward Furlong;Beverly D'Angelo;Jennifer Lien,119,https://www.imdb.com//title/tt0120586/,English
"Lock, Stock and Two Smoking Barrels",8.2,1998,Jason Flemyng;Dexter Fletcher;Nick Moran;Jason Statham,107,https://www.imdb.com//title/tt0120735/,English
Satya,8.2,1998,J.D. Chakravarthi;Manoj Bajpayee;Urmila Matondkar;Paresh Rawal,170,https://www.imdb.com//title/tt0195231/,Hindi
Fight Club,8.8,1999,Brad Pitt;Edward Norton;Meat Loaf;Zach Grenier,139,https://www.imdb.com//title/tt0137523/,English
The Matrix,8.7,1999,Keanu Reeves;Laurence Fishburne;Carrie-Anne Moss;Hugo Weaving,136,https://www.imdb.com//title/tt0133093/,English
The Green Mile,8.6,1999,Tom Hanks;Michael Clarke Duncan;David Morse;Bonnie Hunt,189,https://www.imdb.com//title/tt0120689/,English;French
Mudhalvan,8.4,1999,Arjun Sarja;Manisha Koirala;Raghuvaran;Vadivelu,169,https://www.imdb.com//title/tt0220656/,Tamil
Thulladha Manamum Thullum,8.4,1999,Joseph Vijay;Simran;Dhamu;Vaiyapuri,170,https://www.imdb.com//title/tt1517561/,Tamil
O Auto da Compadecida,8.7,2000,Matheus Nachtergaele;Selton Mello;Rogério Cardoso;Denise Fraga,104,https://www.imdb.com//title/tt0271383/,Latin;Portuguese
