title,rating,year,actors,runtime,url,languages
Modern Times,8.5,1936,Charles Chaplin;Paulette Goddard;Henry Bergman;Tiny Sandford,87,https://www.imdb.com//title/tt0027977/,English
My Man Godfrey,8.0,1936,William Powell;Carole Lombard;Alice Brady;Gail Patrick,94,https://www.imdb.com//title/tt0028010/,English;Russian
Fury,7.9,1936,Sylvia Sidney;Spencer Tracy;Walter Abel;Bruce Cabot,92,https://www.imdb.com//title/tt0027652/,English
Mr. Deeds Goes to Town,7.9,1936,Gary Cooper;Jean Arthur;George Bancroft;Lionel Stander,115,https://www.imdb.com//title/tt0027996/,English
"Nee, mevrouw, dat nooit!",7.9,1936,Jean Harlow;William Powell;Myrna Loy;Spencer Tracy,98,https://www.imdb.com//title/tt0027884/,English
Make Way for Tomorrow,8.2,1937,Victor Moore;Beulah Bondi;Fay Bainter;Thomas Mitchell,91,https://www.imdb.com//title/tt0029192/,English
La Grande Illusion,8.1,1937,Jean Gabin;Dita Parlo;Pierre Fresnay;Erich von Stroheim,113,https://www.imdb.com//title/tt0028950/,French;German;English;Russian
De stormduivels,8.0,1937,Spencer Tracy;Freddie Bartholomew;Lionel Barrymore;Melvyn Douglas,117,https://www.imdb.com//title/tt0028691/,English;Portuguese
Pépé le Moko,7.8,1937,Jean Gabin;Gabriel Gabrio;Saturnin Fabre;Fernand Charpin,94,https://www.imdb.com//title/tt0029453/,French;Arabic
Stage Door,7.8,1937,Katharine Hepburn;Ginger Rogers;Adolphe Menjou;Gail Patrick,92,https://www.imdb.com//title/tt0029604/,English
Bringing Up Baby,7.9,1938,Katharine Hepburn;Cary Grant;Charles Ruggles;Walter Catlett,102,https://www.imdb.com//title/tt0029947/,English
Engelen met smerige gezichten,7.9,1938,James Cagney;Pat O'Brien;Humphrey Bogart;Ann Sheridan,97,https://www.imdb.com//title/tt0029870/,English
The Adventures of Robin Hood,7.9,1938,Errol Flynn;Olivia de Havilland;Basil Rathbone;Claude Rains,102,https://www.imdb.com//title/tt0029843/,English
You Can't Take It with You,7.9,1938,Jean Arthur;James Stewart;Lionel Barrymore;Edward Arnold,126,https://www.imdb.com//title/tt0030993/,English;Russian
Levensproblemen,7.8,1938,Katharine Hepburn;Cary Grant;Doris Nolan;Lew Ayres,95,https://www.imdb.com//title/tt0030241/,English
Gejaagd door de wind,8.1,1939,Clark Gable;Vivien Leigh;Thomas Mitchell;Barbara O'Neil,238,https://www.imdb.com//title/tt0031381/,English
Mr. Smith Goes to Washington,8.1,1939,James Stewart;Jean Arthur;Claude Rains;Edward Arnold,129,https://www.imdb.com//title/tt0031679/,English
La règle du jeu,8.0,1939,Marcel Dalio;Nora Gregor;Paulette Dubost;Mila Parély,110,https://www.imdb.com//title/tt0031885/,French;German;English
The Wizard of Oz,8.0,1939,Judy Garland;Frank Morgan;Ray Bolger;Bert Lahr,102,https://www.imdb.com//title/tt0032138/,English
"Goodbye, Mr. Chips",7.9,1939,Robert Donat;Greer Garson;Terry Kilburn;John Mills,114,https://www.imdb.com//title/tt0031385/,English;Latin;German
De dictator,8.4,1940,Charles Chaplin;Paulette Goddard;Jack Oakie;Reginald Gardiner,125,https://www.imdb.com//title/tt0032553/,English;Esperanto
Rebecca,8.1,1940,Laurence Olivier;Joan Fontaine;George Sanders;Judith Anderson,130,https://www.imdb.com//title/tt0032976/,English;French
The Grapes of Wrath,8.1,1940,Henry Fonda;Jane Darwell;John Carradine;Charley Grapewin,129,https://www.imdb.com//title/tt0032551/,English
The Shop Around the Corner,8.1,1940,Margaret Sullavan;James Stewart;Frank Morgan;Joseph Schildkraut,99,https://www.imdb.com//title/tt0033045/,English
De bronzen godin,7.9,1940,Cary Grant;Katharine Hepburn;James Stewart;Ruth Hussey,112,https://www.imdb.com//title/tt0032904/,English;French
Citizen Kane,8.3,1941,Orson Welles;Joseph Cotten;Dorothy Comingore;Agnes Moorehead,119,https://www.imdb.com//title/tt0033467/,English;Italian
The Little Foxes,8.0,1941,Bette Davis;Herbert Marshall;Teresa Wright;Richard Carlson,116,https://www.imdb.com//title/tt0033836/,English
The Maltese Falcon,8.0,1941,Humphrey Bogart;Mary Astor;Gladys George;Peter Lorre,100,https://www.imdb.com//title/tt0033870/,English
Sullivan's Travels,7.9,1941,Joel McCrea;Veronica Lake;Robert Warwick;William Demarest,90,https://www.imdb.com//title/tt0034240/,English
Acht professoren en een meisje,7.8,1941,Gary Cooper;Barbara Stanwyck;Oskar Homolka;Henry Travers,111,https://www.imdb.com//title/tt0033373/,English
Casablanca,8.5,1942,Humphrey Bogart;Ingrid Bergman;Paul Henreid;Claude Rains,102,https://www.imdb.com//title/tt0034583/,English;French;German;Italian
Spionnage in het spel,8.2,1942,Carole Lombard;Jack Benny;Robert Stack;Felix Bressart,99,https://www.imdb.com//title/tt0035446/,English;German
Gevangenen van 't verleden,8.0,1942,Ronald Colman;Greer Garson;Philip Dorn;Susan Peters,126,https://www.imdb.com//title/tt0035238/,English
The Ox-Bow Incident,8.0,1942,Henry Fonda;Dana Andrews;Mary Beth Hughes;Anthony Quinn,75,https://www.imdb.com//title/tt0036244/,English;Spanish
"Now, Voyager",7.9,1942,Bette Davis;Paul Henreid;Claude Rains;Gladys Cooper,117,https://www.imdb.com//title/tt0035140/,English;Portuguese
De dag des oordeels,8.1,1943,Thorkild Roose;Lisbeth Movin;Sigrid Neiiendam;Kirsten Andreasen,97,https://www.imdb.com//title/tt0036506/,Danish
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey;Deborah Kerr;Anton Walbrook;James McKechnie,163,https://www.imdb.com//title/tt0036112/,English;French;German
Arsenicum en oude kant,8.0,1943,Cary Grant;Priscilla Lane;Raymond Massey;Jack Carson,118,https://www.imdb.com//title/tt0036613/,English;German
Le corbeau,7.9,1943,Pierre Fresnay;Ginette Leclerc;Micheline Francey;Héléna Manson,92,https://www.imdb.com//title/tt0035753/,French
Shadow of a Doubt,7.8,1943,Teresa Wright;Joseph Cotten;Macdonald Carey;Henry Travers,108,https://www.imdb.com//title/tt0036342/,English
Double Indemnity,8.3,1944,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Byron Barr,107,https://www.imdb.com//title/tt0036775/,English
