title,rating,year,actors,runtime,url
Gevangenen van 't verleden,8.0,1942,Ronald Colman;Greer Garson;Philip Dorn;Susan Peters,126,https://www.imdb.com//title/tt0035238/
De dag des oordeels,8.1,1943,Thorkild Roose;Lisbeth Movin;Sigrid Neiiendam;Kirsten Andreasen,97,https://www.imdb.com//title/tt0036506/
The Life and Death of Colonel Blimp,8.1,1943,Roger Livesey;Deborah Kerr;Anton Walbrook;James McKechnie,163,https://www.imdb.com//title/tt0036112/
Arsenicum en oude kant,8.0,1943,Cary Grant;Priscilla Lane;Raymond Massey;Jack Carson,118,https://www.imdb.com//title/tt0036613/
Double Indemnity,8.3,1944,Fred MacMurray;Barbara Stanwyck;Edward G. Robinson;Byron Barr,107,https://www.imdb.com//title/tt0036775/
Laura,8.0,1944,Gene Tierney;Dana Andrews;Clifton Webb;Vincent Price,88,https://www.imdb.com//title/tt0037008/
Avontuur op Martinique,7.8,1944,Humphrey Bogart;Lauren Bacall;Walter Brennan;Dolores Moran,100,https://www.imdb.com//title/tt0037382/
Les enfants du paradis,8.4,1945,Arletty;Jean-Louis Barrault;Pierre Brasseur;Pierre Renoir,189,https://www.imdb.com//title/tt0037674/
Roma città aperta,8.1,1945,Anna Magnani;Aldo Fabrizi;Marcello Pagliero;Vito Annichiarico,103,https://www.imdb.com//title/tt0038890/
A Tree Grows in Brooklyn,8.0,1945,Dorothy McGuire;Joan Blondell;James Dunn;Lloyd Nolan,129,https://www.imdb.com//title/tt0038190/
It's a Wonderful Life,8.6,1946,James Stewart;Donna Reed;Lionel Barrymore;Thomas Mitchell,130,https://www.imdb.com//title/tt0038650/
De beste jaren van ons leven,8.1,1946,Myrna Loy;Dana Andrews;Fredric March;Teresa Wright,170,https://www.imdb.com//title/tt0036868/
Een Zaak van Leven en Dood,8.1,1946,David Niven;Kim Hunter;Robert Coote;Kathleen Byron,104,https://www.imdb.com//title/tt0038733/
